source_lang,target_lang,quant_level,bleu,chrf,comet22,kiwi23,num_sentences,benchmark,source_lang_resource_level,target_lang_resource_level
Russian,German,Baseline,24.88,53.76,0.832,0.7823,1012,FloRes,High Resource,High Resource
Russian,French,Baseline,32.89,58.6,0.8355,0.8073,1012,FloRes,High Resource,High Resource
Russian,Dutch,Baseline,19.14,50.03,0.8364,0.7585,1012,FloRes,High Resource,Mid Resource
Russian,Polish,Baseline,16.06,45.49,0.8776,0.7679,1012,FloRes,High Resource,Mid Resource
Russian,Latvian,Baseline,17.07,47.24,0.8286,0.6444,1012,FloRes,High Resource,Mid Resource
Russian,Zulu,Baseline,9.45,49.12,0.7372,0.483,1012,FloRes,High Resource,Low Resource
Russian,Telugu,Baseline,12.37,46.66,0.8063,0.6874,1012,FloRes,High Resource,Low Resource
Russian,Swahili,Baseline,20.28,51.49,0.7947,0.7037,1012,FloRes,High Resource,Low Resource
Telugu,German,8-Bit,22.23,51.52,0.818,0.7137,1012,FloRes,Low Resource,High Resource
Telugu,Russian,8-Bit,19.38,47.4,0.8533,0.7091,1012,FloRes,Low Resource,High Resource
Telugu,French,8-Bit,30.89,57.29,0.8362,0.7094,1012,FloRes,Low Resource,High Resource
Telugu,Dutch,8-Bit,18.28,49.08,0.8318,0.6855,1012,FloRes,Low Resource,Mid Resource
Telugu,Polish,8-Bit,13.55,42.78,0.8481,0.6801,1012,FloRes,Low Resource,Mid Resource
Telugu,Latvian,8-Bit,13.04,42.79,0.8011,0.5306,1012,FloRes,Low Resource,Mid Resource
Telugu,Zulu,8-Bit,10.7,49.36,0.7673,0.444,1012,FloRes,Low Resource,Low Resource
Telugu,Swahili,8-Bit,21.88,52.26,0.823,0.5257,1012,FloRes,Low Resource,Low Resource
Dutch,German,8-Bit,21.97,52.41,0.8463,0.8592,1012,FloRes,Mid Resource,High Resource
Dutch,Russian,8-Bit,18.45,47.12,0.8626,0.843,1012,FloRes,Mid Resource,High Resource
Dutch,French,8-Bit,29.48,56.57,0.835,0.8618,1012,FloRes,Mid Resource,High Resource
Dutch,Polish,8-Bit,14.38,43.53,0.8662,0.7959,1012,FloRes,Mid Resource,Mid Resource
Dutch,Latvian,8-Bit,13.88,44.15,0.8157,0.6548,1012,FloRes,Mid Resource,Mid Resource
Dutch,Zulu,8-Bit,8.52,47.58,0.7301,0.565,1012,FloRes,Mid Resource,Low Resource
Dutch,Telugu,8-Bit,10.61,44.65,0.805,0.6671,1012,FloRes,Mid Resource,Low Resource
Dutch,Swahili,8-Bit,17.85,49.85,0.7969,0.7227,1012,FloRes,Mid Resource,Low Resource
Russian,German,8-Bit,25.02,53.92,0.832,0.7816,1012,FloRes,High Resource,High Resource
Russian,French,8-Bit,33.05,58.72,0.8354,0.805,1012,FloRes,High Resource,High Resource
Russian,Dutch,8-Bit,19.2,50.12,0.8366,0.7595,1012,FloRes,High Resource,Mid Resource
Russian,Polish,8-Bit,16.2,45.49,0.8777,0.77,1012,FloRes,High Resource,Mid Resource
Russian,Latvian,8-Bit,17.03,47.2,0.8287,0.6422,1012,FloRes,High Resource,Mid Resource
Russian,Zulu,8-Bit,9.49,48.98,0.735,0.4841,1012,FloRes,High Resource,Low Resource
Russian,Telugu,8-Bit,12.37,46.71,0.8072,0.6883,1012,FloRes,High Resource,Low Resource
Russian,Swahili,8-Bit,20.34,51.51,0.7947,0.7025,1012,FloRes,High Resource,Low Resource
French,German,4-Bit,28.33,56.94,0.8428,0.7869,1012,FloRes,High Resource,High Resource
French,Russian,4-Bit,23.97,52.06,0.8757,0.7961,1012,FloRes,High Resource,High Resource
French,Dutch,4-Bit,21.84,53.05,0.8525,0.7664,1012,FloRes,High Resource,Mid Resource
French,Polish,4-Bit,17.03,46.5,0.8709,0.7443,1012,FloRes,High Resource,Mid Resource
French,Latvian,4-Bit,16.57,46.9,0.8165,0.5695,1012,FloRes,High Resource,Mid Resource
French,Zulu,4-Bit,11.56,50.96,0.7435,0.5415,1012,FloRes,High Resource,Low Resource
French,Telugu,4-Bit,13.31,47.67,0.819,0.659,1012,FloRes,High Resource,Low Resource
French,Swahili,4-Bit,21.67,53.11,0.8112,0.6935,1012,FloRes,High Resource,Low Resource
Dutch,German,Baseline,21.82,52.38,0.8461,0.8599,1012,FloRes,Mid Resource,High Resource
Dutch,Russian,Baseline,18.54,47.28,0.8629,0.8404,1012,FloRes,Mid Resource,High Resource
Dutch,French,Baseline,29.39,56.44,0.8346,0.8608,1012,FloRes,Mid Resource,High Resource
Dutch,Polish,Baseline,14.23,43.5,0.8664,0.7935,1012,FloRes,Mid Resource,Mid Resource
Dutch,Latvian,Baseline,13.89,44.17,0.8182,0.6555,1012,FloRes,Mid Resource,Mid Resource
Dutch,Zulu,Baseline,8.35,47.33,0.7282,0.5604,1012,FloRes,Mid Resource,Low Resource
Dutch,Telugu,Baseline,10.84,44.7,0.8047,0.6655,1012,FloRes,Mid Resource,Low Resource
Dutch,Swahili,Baseline,18.11,49.98,0.7981,0.723,1012,FloRes,Mid Resource,Low Resource
Zulu,German,4-Bit,20.77,48.48,0.7458,0.5609,1012,FloRes,Low Resource,High Resource
Zulu,Russian,4-Bit,18.48,44.53,0.7951,0.4916,1012,FloRes,Low Resource,High Resource
Zulu,French,4-Bit,27.98,52.75,0.7586,0.5577,1012,FloRes,Low Resource,High Resource
Zulu,Dutch,4-Bit,16.61,46.46,0.7601,0.5362,1012,FloRes,Low Resource,Mid Resource
Zulu,Polish,4-Bit,13.03,40.03,0.7858,0.4605,1012,FloRes,Low Resource,Mid Resource
Zulu,Latvian,4-Bit,12.73,40.15,0.746,0.2739,1012,FloRes,Low Resource,Mid Resource
Zulu,Telugu,4-Bit,10.66,43.54,0.7594,0.4427,1012,FloRes,Low Resource,Low Resource
Zulu,Swahili,4-Bit,21.8,51.44,0.7972,0.3936,1012,FloRes,Low Resource,Low Resource
Swahili,German,Baseline,23.23,51.39,0.7918,0.7465,1012,FloRes,Low Resource,High Resource
Swahili,Russian,Baseline,20.18,46.86,0.8299,0.7031,1012,FloRes,Low Resource,High Resource
Swahili,French,Baseline,31.23,55.66,0.8023,0.739,1012,FloRes,Low Resource,High Resource
Swahili,Dutch,Baseline,18.98,49.07,0.8051,0.7012,1012,FloRes,Low Resource,Mid Resource
Swahili,Polish,Baseline,14.5,42.07,0.8231,0.5536,1012,FloRes,Low Resource,Mid Resource
Swahili,Latvian,Baseline,14.81,42.78,0.7906,0.3983,1012,FloRes,Low Resource,Mid Resource
Swahili,Zulu,Baseline,12.99,52.07,0.7828,0.3847,1012,FloRes,Low Resource,Low Resource
Swahili,Telugu,Baseline,12.66,46.45,0.8018,0.5311,1012,FloRes,Low Resource,Low Resource
Zulu,German,8-Bit,20.72,48.46,0.7487,0.5642,1012,FloRes,Low Resource,High Resource
Zulu,Russian,8-Bit,18.28,44.4,0.7948,0.4966,1012,FloRes,Low Resource,High Resource
Zulu,French,8-Bit,28.03,52.84,0.759,0.5557,1012,FloRes,Low Resource,High Resource
Zulu,Dutch,8-Bit,16.58,46.7,0.7643,0.5419,1012,FloRes,Low Resource,Mid Resource
Zulu,Polish,8-Bit,13.09,40.02,0.7879,0.4639,1012,FloRes,Low Resource,Mid Resource
Zulu,Latvian,8-Bit,13.18,40.69,0.7504,0.2761,1012,FloRes,Low Resource,Mid Resource
Zulu,Telugu,8-Bit,10.71,43.36,0.757,0.4382,1012,FloRes,Low Resource,Low Resource
Zulu,Swahili,8-Bit,21.74,51.46,0.7982,0.3992,1012,FloRes,Low Resource,Low Resource
German,Russian,Baseline,24.61,52.39,0.876,0.8606,1012,FloRes,High Resource,High Resource
German,French,Baseline,36.87,62.1,0.8513,0.8568,1012,FloRes,High Resource,High Resource
German,Dutch,Baseline,22.86,53.81,0.8662,0.8443,1012,FloRes,High Resource,Mid Resource
German,Polish,Baseline,17.31,46.6,0.8789,0.8349,1012,FloRes,High Resource,Mid Resource
German,Latvian,Baseline,17.2,46.93,0.8201,0.69,1012,FloRes,High Resource,Mid Resource
German,Zulu,Baseline,10.31,50.4,0.738,0.589,1012,FloRes,High Resource,Low Resource
German,Telugu,Baseline,13.43,48.53,0.8158,0.7009,1012,FloRes,High Resource,Low Resource
German,Swahili,Baseline,21.7,53.18,0.8103,0.7903,1012,FloRes,High Resource,Low Resource
French,German,8-Bit,28.08,56.84,0.8445,0.7917,1012,FloRes,High Resource,High Resource
French,Russian,8-Bit,23.96,52.13,0.8765,0.7992,1012,FloRes,High Resource,High Resource
French,Dutch,8-Bit,22.05,53.32,0.8547,0.7705,1012,FloRes,High Resource,Mid Resource
French,Polish,8-Bit,17.35,46.79,0.8737,0.7484,1012,FloRes,High Resource,Mid Resource
French,Latvian,8-Bit,17.13,47.24,0.8218,0.5884,1012,FloRes,High Resource,Mid Resource
French,Zulu,8-Bit,11.85,51.45,0.7449,0.5439,1012,FloRes,High Resource,Low Resource
French,Telugu,8-Bit,13.51,47.89,0.8186,0.6569,1012,FloRes,High Resource,Low Resource
French,Swahili,8-Bit,22.06,53.46,0.8132,0.6992,1012,FloRes,High Resource,Low Resource
Swahili,German,8-Bit,23.38,51.52,0.7918,0.7456,1012,FloRes,Low Resource,High Resource
Swahili,Russian,8-Bit,20.34,46.9,0.8305,0.7022,1012,FloRes,Low Resource,High Resource
Swahili,French,8-Bit,31.0,55.67,0.8025,0.7402,1012,FloRes,Low Resource,High Resource
Swahili,Dutch,8-Bit,19.03,49.07,0.8053,0.7031,1012,FloRes,Low Resource,Mid Resource
Swahili,Polish,8-Bit,14.42,42.06,0.8236,0.5554,1012,FloRes,Low Resource,Mid Resource
Swahili,Latvian,8-Bit,14.8,43.09,0.7904,0.3979,1012,FloRes,Low Resource,Mid Resource
Swahili,Zulu,8-Bit,13.0,52.17,0.7845,0.3854,1012,FloRes,Low Resource,Low Resource
Swahili,Telugu,8-Bit,12.61,46.43,0.8024,0.5314,1012,FloRes,Low Resource,Low Resource
Polish,German,8-Bit,21.18,50.88,0.8395,0.789,1012,FloRes,Mid Resource,High Resource
Polish,Russian,8-Bit,19.38,48.2,0.8792,0.8085,1012,FloRes,Mid Resource,High Resource
Polish,French,8-Bit,28.29,55.57,0.8365,0.8044,1012,FloRes,Mid Resource,High Resource
Polish,Dutch,8-Bit,18.3,49.25,0.8454,0.7407,1012,FloRes,Mid Resource,Mid Resource
Polish,Latvian,8-Bit,13.81,43.92,0.812,0.5944,1012,FloRes,Mid Resource,Mid Resource
Polish,Zulu,8-Bit,8.11,46.73,0.7245,0.4545,1012,FloRes,Mid Resource,Low Resource
Polish,Telugu,8-Bit,9.82,43.55,0.7984,0.6464,1012,FloRes,Mid Resource,Low Resource
Polish,Swahili,8-Bit,17.58,49.04,0.7935,0.5631,1012,FloRes,Mid Resource,Low Resource
