source_lang,target_lang,quant_level,bleu,chrf,comet22,kiwi23,num_sentences,benchmark,source_lang_resource_level,target_lang_resource_level
Latvian,Telugu,4-Bit,13.485111859503691,41.909565397507656,0.7147291066590696,0.492216191618354,960,WMT24++,Mid Resource,Low Resource
Latvian,Swahili,4-Bit,15.065202446392847,44.00423587108009,0.7269553716139247,0.3725301156038768,960,WMT24++,Mid Resource,Low Resource
Swahili,German,Baseline,10.552670315936318,47.13131176612514,0.7098936499096453,0.6016262552405048,960,WMT24++,Low Resource,High Resource
Swahili,Russian,Baseline,11.016798394984653,30.653532298384267,0.73796311042582,0.5519587577315784,960,WMT24++,Low Resource,High Resource
Swahili,French,Baseline,24.29335519279861,49.84243976540529,0.7179995788571735,0.5643622283828639,960,WMT24++,Low Resource,High Resource
Swahili,Dutch,Baseline,12.549310621989482,28.720486746055684,0.7410302488133311,0.5597874167123034,960,WMT24++,Low Resource,Mid Resource
Swahili,Polish,Baseline,12.982679446701692,34.852591683502006,0.7340888263502469,0.4315328906028298,960,WMT24++,Low Resource,Mid Resource
Swahili,Latvian,Baseline,20.556680845025987,27.47187186788953,0.6976515728359421,0.3251274481396346,960,WMT24++,Low Resource,Mid Resource
Swahili,Zulu,Baseline,6.742555929751843,53.779997138440315,0.7721311182559778,0.3826536260457942,960,WMT24++,Low Resource,Low Resource
Swahili,Telugu,Baseline,6.664594204257212,24.212710798104712,0.7295758186218639,0.5149056860725978,960,WMT24++,Low Resource,Low Resource
Zulu,German,8-Bit,13.134549472120794,38.52135878504049,0.675491245649755,0.4663636759049647,960,WMT24++,Low Resource,High Resource
Zulu,Russian,8-Bit,20.164945583740657,21.365905105340676,0.7007120944249133,0.3943252425180011,960,WMT24++,Low Resource,High Resource
Zulu,French,8-Bit,27.499775953224137,53.4063163430564,0.6728782483066121,0.4150173551407837,960,WMT24++,Low Resource,High Resource
Zulu,Dutch,8-Bit,19.72940627795883,25.83065132732061,0.6949380371409158,0.4480557843451,960,WMT24++,Low Resource,Mid Resource
Zulu,Polish,8-Bit,11.868405219520977,27.229822374447043,0.7000295010395348,0.3908213658301974,960,WMT24++,Low Resource,Mid Resource
Zulu,Latvian,8-Bit,10.91708860711953,37.47272951717308,0.6711939739373823,0.2653455174562016,960,WMT24++,Low Resource,Mid Resource
Zulu,Telugu,8-Bit,19.130147081392227,21.66748610005989,0.704403132169197,0.4376598461472895,960,WMT24++,Low Resource,Low Resource
Zulu,Swahili,8-Bit,26.293210120556132,39.08478456885272,0.750929683757325,0.3665351090501644,960,WMT24++,Low Resource,Low Resource
German,Russian,Baseline,12.137294292683093,27.39225639691638,0.7809535064113636,0.7076343202978024,960,WMT24++,High Resource,High Resource
German,French,Baseline,35.993062543531785,57.76651118221873,0.7513524297624826,0.6721222011348194,960,WMT24++,High Resource,High Resource
German,Dutch,Baseline,35.49481056010054,35.996546251083764,0.7941485472333928,0.7228454925119877,960,WMT24++,High Resource,Mid Resource
German,Polish,Baseline,19.881768219176266,41.25006780187815,0.7801690487501521,0.6859004587880918,960,WMT24++,High Resource,Mid Resource
German,Latvian,Baseline,25.40663740773074,45.83240701272494,0.7280399452739705,0.5220519281220428,960,WMT24++,High Resource,Mid Resource
German,Zulu,Baseline,11.478744233307168,36.8985237742851,0.7251188013702631,0.503173465335082,960,WMT24++,High Resource,Low Resource
German,Telugu,Baseline,8.982602799077107,23.486869720752544,0.7350943635838727,0.6638714066920026,960,WMT24++,High Resource,Low Resource
German,Swahili,Baseline,37.991784282579665,26.532707162325615,0.7442458732053637,0.6447207811361295,960,WMT24++,High Resource,Low Resource
French,German,8-Bit,20.86130724305753,50.22251399195795,0.7509394053680202,0.6131481527510914,960,WMT24++,High Resource,High Resource
French,Russian,8-Bit,26.084743001221455,35.46049303951584,0.7774776003633936,0.6014990597725652,960,WMT24++,High Resource,High Resource
French,Dutch,8-Bit,7.809849842300637,24.17686276178469,0.7793693005417784,0.5982980189083416,960,WMT24++,High Resource,Mid Resource
French,Polish,8-Bit,26.084743001221455,53.49644219389885,0.7812217500681679,0.5556526541802062,960,WMT24++,High Resource,Mid Resource
French,Latvian,8-Bit,21.834177214239062,31.011436471348347,0.7264942591544241,0.3996341524000551,960,WMT24++,High Resource,Mid Resource
French,Zulu,8-Bit,9.2875289995668,44.63868026105334,0.7331463536247611,0.4298720761978378,960,WMT24++,High Resource,Low Resource
French,Telugu,8-Bit,30.2137539735677,22.38565773398432,0.7446312765901287,0.6219488730460095,960,WMT24++,High Resource,Low Resource
French,Swahili,8-Bit,33.437015248821105,33.8269828741819,0.7524866798271735,0.5313685146558176,960,WMT24++,High Resource,Low Resource
Swahili,German,8-Bit,10.552670315936318,47.13131176612514,0.7106417447173347,0.6044231236985069,960,WMT24++,Low Resource,High Resource
Swahili,Russian,8-Bit,11.016798394984653,30.653532298384267,0.7399969700103005,0.5513531876645478,960,WMT24++,Low Resource,High Resource
Swahili,French,8-Bit,24.29335519279861,49.84243976540529,0.7182160612506171,0.5634997101039819,960,WMT24++,Low Resource,High Resource
Swahili,Dutch,8-Bit,12.549310621989482,28.720486746055684,0.7407222305114071,0.5601832713970604,960,WMT24++,Low Resource,Mid Resource
Swahili,Polish,8-Bit,13.329188408514424,29.203212840478663,0.7346724227381249,0.4325290338063496,960,WMT24++,Low Resource,Mid Resource
Swahili,Latvian,8-Bit,20.556680845025987,27.47187186788953,0.6997425137553364,0.3260170735181115,960,WMT24++,Low Resource,Mid Resource
Swahili,Zulu,8-Bit,6.742555929751843,53.779997138440315,0.7727824338556578,0.3855420104198856,960,WMT24++,Low Resource,Low Resource
Swahili,Telugu,8-Bit,6.664594204257212,24.212710798104712,0.7269715442632635,0.5152203182078665,960,WMT24++,Low Resource,Low Resource
Polish,German,8-Bit,8.25791079503452,44.40104639782809,0.7382576669411113,0.640453999787375,960,WMT24++,Mid Resource,High Resource
Polish,Russian,8-Bit,6.567274736060395,20.740291482728935,0.7788174490754803,0.6549303755139894,960,WMT24++,Mid Resource,High Resource
Polish,French,8-Bit,14.535768424205482,40.68922697548847,0.7315425700508058,0.6131668448554896,960,WMT24++,Mid Resource,High Resource
Polish,Dutch,8-Bit,9.652434877402245,30.061181271171115,0.7592411464701097,0.5962195756922787,960,WMT24++,Mid Resource,Mid Resource
Polish,Latvian,8-Bit,14.535768424205482,35.21916395812306,0.7079407852143049,0.4254152820950063,960,WMT24++,Mid Resource,Mid Resource
Polish,Zulu,8-Bit,14.058533129758729,31.181643270736664,0.7171798132825643,0.3828798498546045,960,WMT24++,Mid Resource,Low Resource
Polish,Telugu,8-Bit,9.2875289995668,17.22805306564404,0.7206678041722625,0.6067213186775916,960,WMT24++,Mid Resource,Low Resource
Polish,Swahili,8-Bit,78.96895367562644,29.53487056366117,0.7326255896439154,0.4125515883531382,960,WMT24++,Mid Resource,Low Resource
